标题,发布机构,发布时间,政策类别,关键词,摘要,原文链接
《中共中央关于制定国民经济和社会发展第十四个五年规划和二○三五年远景目标的建议》,中华人民共和国中央人民政府,2020-11,政策规划,"人工智能,量子信息,集成电路,生命健康,脑科学,生物育种,空天科技,深地深海",要把科技自立自强作为国家发展的战略支撑。在列举出的几大前沿科技中，人工智能、量子信息、集成电路被放在了前三位，在一定程度上说明了其重要性上的优先级。,http://www.gov.cn/zhengce/2020-11/03/content_5556991.htm
《全国人大常委会2020年度立法工作计划》,全国人民代表大会常务委员会,2020-06,政策规划,"工作信息化,智能化",6月29日，全国人大常委会通过了2020年度立法工作计划。其中提到要“加强立法理论研究。重视对人工智能、区块链、基因编辑等新技术新领域相关法律问题的研究。继续推动理论研究工作常态化、机制化，发挥科研机构、智库等‘外脑’作用，加强与有关方面的交流合作，抓紧形成高质量的研究成果。”,http://www.npc.gov.cn/npc/c30834/202006/b46fd4cbdbbb4b8faa9487da9e76e5f6.shtml
《关于加快中关村科学城人工智能创新引领发展的十五条措施》,北京市海淀区人民政府,2019-05,政策规划,"人工智能芯片,核心算法,操作系统,基础软件,智能传感器",一是强化原始创新和关键核心源头创新。鼓励高校院所、新型研发平台和顶尖科学家团队聚焦人工智能重大原创学术思想和理论开展研究。重点支持面向未来开展跨领域、跨学科、大协同的超前研究和创新攻关。重点支持基础核心技术和关键共性技术攻关，特别重大的项目可连续支持三年，最高支持3000万元。二是鼓励创新主体建设开源开放的创新平台，突出支持一批产业链协同创新平台、开源及共性技术平台和公共计算平台，特别重大的平台可连续支持三年，最高支持3000万元。三是大力推进“人工智能+”示范应用，重点围绕交通、医疗、金融、制造、教育等领域打造一批人工智能深度应用场景，通过示范应用进一步引导人工智能技术产业化落地，打造科技城市，构建新型城市形态。四是全面优化人工智能产业布局，打造高品质人工智能研发和产业创新集聚区。五是强化资本助力，鼓励早期投资、长期投资、分阶段连续投资和产业链组合投资，引导社会资本更加有耐心培育人工智能产业发展。六是大力引进、培育人工智能紧缺人才，建设人工智能高级人才培训学校，面向深度学习算法、体系架构、融合应用等领域开展培训。,http://www.bjhd.gov.cn/zfxxgk/auto10489_51767/zfwj_59273/zfwj/201906/t20190605_4325431.shtml
《关于加快鲁南经济圈一体化发展的指导意见》,山东省人民政府,2020-06,政策规划,"5G,人工智能,工业互联网,物联网",6月8日，山东省人民政府引发了《关于加快鲁南经济圈一体化发展的指导意见》。其在第一点“加快基础设施互联互通”中提到，要“打造‘数字鲁南’。布局建设5G、人工智能、工业互联网、物联网等新型基础设施。”同时在第三点“推进产业协同创新发展”中提到，要“打造区域创新共同体。推动4市在装备制造、生物医药、人工智能等领域开展协同创新，建设鲁南高铁沿线科技创新走廊。”,http://www.shandong.gov.cn/art/2020/6/8/art_107851_107405.html
《关于建立重点产业链链长制的实施意见》,九江市人民政府,2020-06,政策规划,"智慧港口,大数据,云计算,人工智能,5G,物联网",6月22日，九江市人民政府办公室印发了《关于建立重点产业链链长制的实施意见》。《意见》提出，要“积极发挥中国电信中部云计算大数据中心等项目的辐射和龙头效应，推进大数据、云计算、人工智能、5G和物联网等新经济新业态，引爆软件信息业和信息消费倍增扩张。”,http://zfb.jiujiang.gov.cn/zwgk/jc/szfbwj/202006/t20200622_4089104.html
《关于支持中关村科学城智能网联汽车产业创新引领发展的十五条措施》,北京市海淀区人民政府,2019-06,政策规划,"智能网联汽车,信息技术,人工智能,智能网联","一是围绕“汽车大脑”产业生态建设，大力夯实产业研发基础，提升技术创新高度，支持一批共性技术基础平台建设，支持一批智能网联汽车领域关键技术创新突破。
　　二是围绕“国际一流自动驾驶创新示范区”建设，打造功能齐全、特色突出的自动驾驶封闭测试场，营造智能网联汽车与智能交通全面融合的测试环境；构建技术先进、体系完备的开放测试区域，支持智能网联先进技术应用；加大创新企业孵化培育，对智能网联汽车专业孵化器、加速器给予支持，对初创企业开展自动驾驶相关测试给予补贴；提升示范区市场化运营能力，突出自动驾驶场景应用，对短途接驳、物流配送、智能清扫、智能公交等自动驾驶示范应用给予支持。
　　三是支持举办创新活动，打造国际创新新名片。对具有国际影响力和行业带动力的高端交流平台和自动驾驶汽车赛事活动予以支持，推动中关村科学城成为国际领先的智能网联汽车产业创新高地。",http://zyk.bjhd.gov.cn/zwdt/xxgk/zcjd/zcjd/201911/t20191122_4358014.shtml
《关于进一步加强工业行业安全生产管理的指导意见》,工业和信息化部,2020-06,政策规划,"互联网,大数据,物联网,人工智能",6月11日，工业和信息化部印发了《关于进一步加强工业行业安全生产管理的指导意见》。其中提到要“通过技术改造促进企业提升本质安全水平。 推动互联网、大数据、物联网、人工智能等技术在安全生产领域广泛应用，用智能化、信息化手段提升 企业本质 安全水平 及工控安全、数据安全 管理能力。”,http://www.gov.cn/zhengce/zhengceku/2020-06/12/content_5518852.htm
《国务院关于积极推进“互联网+”行动的指导意见》,中华人民共和国国务院,2015-07,政策规划,"云计算,物联网,智能工业机器人,增材制造",《指导意见》提出，要坚持开放共享、融合创新、变革转型、引领跨越、安全有序的基本原则，充分发挥我国互联网的规模优势和应用优势，坚持改革创新和市场需求导向，大力拓展互联网与经济社会各领域融合的广度和深度。到2018年，互联网与经济社会各领域的融合发展进一步深化，基于互联网的新业态成为新的经济增长动力，互联网支撑大众创业、万众创新的作用进一步增强，互联网成为提供公共服务的重要手段，网络经济与实体经济协同互动的发展格局基本形成。到2025年，“互联网＋”新经济形态初步形成，“互联网＋”成为我国经济社会创新发展的重要驱动力量。,http://www.gov.cn/zhengce/content/2015-07/04/content_10002.htm
《新一代人工智能发展规划》,中华人民共和国国务院,2017-07,政策规划,"深度学习,跨界融合,人机协同,群智开放,自主操控",《规划》明确了我国新一代人工智能发展的战略目标：到2020年，人工智能总体技术和应用与世界先进水平同步，人工智能产业成为新的重要经济增长点，人工智能技术应用成为改善民生的新途径；到2025年，人工智能基础理论实现重大突破，部分技术与应用达到世界领先水平，人工智能成为我国产业升级和经济转型的主要动力，智能社会建设取得积极进展；到2030年，人工智能理论、技术与应用总体达到世界领先水平，成为世界主要人工智能创新中心。,http://www.gov.cn/zhengce/content/2017-07/20/content_5211996.htm
《新型基础设施重大项目建设行动方案 （2020—2022年）》,重庆市人民政府,2020-06,政策规划,"智造重镇,智慧名城,智慧治理",6月19日，重庆市人民政府印发了《重庆市新型基础设施重大项目建设行动方案（2020—2022年）》的通知。其中在发展目标中强调，要“积极布局5G、数据中心、人工智能、物联网、工业互联网等新型基础设施建设。”同时在重点任务中提到，要“打造基于区块链、人工智能等新兴技术的安全可信新型基础设施生态环境；打造一批产业互联网平台、人工智能服务平台。”根据规划，人工智能公共服务平台将实施22个项目，投资额约284亿元。,http://www.gov.cn/xinwen/2020-06/20/content_5520763.htm
